단어,발음,주요뜻,메모,암기여부,저장날짜
Never say such a thing.,,그런 말을 하지 마라.,,미암기,2012-06-17 21:00:06
Who does not desire happiness?,,= Everyone desires happiness. 누가 행복을 바라지 않겠는가?,,미암기,2012-06-17 21:00:06
What is the use of reading such a book?,,= It is no use reading such a book. 그런 책을 읽는 것이 무슨 소용이 있느냐.,,미암기,2012-06-17 20:49:13
How can I jump so high?,,= I can't jump so high. 어떻게 내가 그렇게 높이 뛸 수 있겠는가?,,미암기,2012-06-17 20:49:13
Who can do such a thing?,,= Nobody can do such a thing. 누가 그런 일을 할 수 있겠는가?,,미암기,2012-06-17 20:49:13
Who know?,,= Nobody knows. 누가 알겠는가?,,미암기,2012-06-17 20:49:13
I doubt if it will be fine tomorrow.,,나는 내일 날씨가 좋을지 어떨지 의심스럽습니다.,,미암기,2012-06-17 20:49:13
How many students do you think there are in this school?,,당신은 얼마나 많은 학생들이 이 학교에 있다고 생각합니까?,,미암기,2012-06-17 20:49:13
Who do you think has broken the window?,,당신은 누가 그 창문을 깼다고 생각합니까?,,미암기,2012-06-17 20:49:13
Which way do you suppose they will go?,,당신은 그들이 어느 길로 갈 것이라고 생각합니까?,,미암기,2012-06-17 20:49:13
What do you believe they did?,,당신은 그들이 무엇을 했다고 믿습니까?,,미암기,2012-06-17 20:49:13
How old do you think she is?,,당신은 그녀의 나이가 몇이라고 생각합니까?,,미암기,2012-06-17 20:49:13
Where do you think he went yesterday?,,당신은 그가 어제 어디에 갔다고 생각합니까?,,미암기,2012-06-17 20:49:13
Who do you think he is?,,당신은 그가 누구라고 생각합니까?,,미암기,2012-06-17 20:49:13
Tell me if he can play soccer.,,그가 축구를 할 수 있는지 어떤지 내게 말해 주시오.,,미암기,2012-06-17 20:49:13
I doubt if he got up at six this morning.,,나는 그가 오늘 아침 6시에 일어났는지 어떤지 의심스럽습니다.,,미암기,2012-06-17 20:49:13
Can you tell me if he came to Korea yesterday?,,그가 어제 한국에 왔는지 어떤지 말해 줄 수 있습니까?,,미암기,2012-06-17 20:49:13
I don't know if he locked the door.,,나는 그가 문을 잠궜는지 어떤지를 모른다.,,미암기,2012-06-17 20:49:13
I know who sent me this letter.,,나는 이 편지를 누가 나에게 보냈는지 알고 있습니다.,,미암기,2012-06-17 20:49:13
I don't know how many books he has.,,그가 얼마나 많은 책을 갖고 있는지 나는 모릅니다.,,미암기,2012-06-17 20:49:13
I want to know when she will be back.,,나는 그녀가 언제 돌아올지를 알고 싶습니다.,,미암기,2012-06-17 20:49:13
Can you tell me where the post office is?,,우체국이 어디에 있는지 말해 줄 수 있습니까?,,미암기,2012-06-17 20:49:13
Do you know what he was doing there?,,당신은 그가 거기에서 무엇을 하고 있었는지 알고 있습니까?,,미암기,2012-06-17 20:49:13
Please tell me who bought the pen.,,누가 그 펜을 샀는지 저에게 말씀해 주십시오.,,미암기,2012-06-17 20:49:13
Do you know what he wants?,,당신은 그가 무엇을 원하는지를 알고 있습니까?,,미암기,2012-06-17 20:49:13
He has never seen a tiger.,,그는 호랑이를 본 적이 없다.,,미암기,2012-06-17 20:49:13
Who is he talking to?,,그는 누구에게 말을 하고 있습니까?,,미암기,2012-06-17 20:49:13
Which is larger?,,어느 것이 더 큽니까?,,미암기,2012-06-17 20:49:13
What happened yesterday?,,어제 무슨 일이 일어났습니까?,,미암기,2012-06-17 20:49:13
What does she do in the evening?,,그녀는 저녁에 무엇을 합니까?,,미암기,2012-06-17 20:49:13
Who answered this question?,,누가 이 질문에 대답했습니까?,,미암기,2012-06-17 20:49:13
We didn't have much trouble solving the problem.,,우리는 그 문제를 푸는 데 큰 어려움이 없었다.,,미암기,2012-06-17 20:49:13
I didn't have breakfast this morning.,,오늘 아침에 나는 조반을 먹지 않았다.,,미암기,2012-06-17 20:49:13
He does not have any money on him.,,그는 돈을 한 푼도 갖고 있지 않다.,,미암기,2012-06-17 20:49:13
We don't have many foreign friends.,,우리는 외국인 친구들을 많이 갖고 있지 않다.,,미암기,2012-06-17 20:49:13
He is a hard worker.,,그는 근면한 일꾼이다.,,미암기,2012-06-17 20:49:13
The old man died last week.,,그 노인은 지난 주에 죽었다.,,미암기,2012-06-17 20:49:13
There are some bad men in this town.,,이 마을에는 몇 명의 나쁜 사람들이 있다.,,미암기,2012-06-17 20:49:13
Near the river stands a big hotel.,,그 강 부근에 큰 호텔이 있다.,,미암기,2012-06-17 20:49:13
The work is very easy.,,그 일은 매우 쉽다.,,미암기,2012-06-17 20:49:13
I saw a tree at the back of the house.,,나는 그 집 뒤에 있는 나무 한 그루를 보았다.,,미암기,2012-06-17 20:49:13
His car stopped in front of the building.,,그의 차는 그 빌딩 앞에 멈추었다.,,미암기,2012-06-17 20:49:13
The book on the desk is mine.,,책상 위에 있는 책은 내것이다.,,미암기,2012-06-17 15:37:38
She cooks three meals a day.,,그녀는 하루에 세 끼를 요리한다.,,미암기,2012-06-17 15:36:39
We'll soon have a twenty-minute break.,,우리는 곧 20분간의 휴식을 갖게 될 것이다.,,미암기,2012-06-17 15:36:39
Don't break the branches.,,가지를 꺾지 마시오.,,미암기,2012-06-17 15:36:39
She arrived early in the afternoon.,,그녀는 오후 일찍 도착했다.,,미암기,2012-06-17 15:36:39
I'll see him after I get back.,,내가 돌아온 뒤에 그를 만나겠다.,,미암기,2012-06-17 15:36:39
Winter comes after fall.,,겨울은 가을 다음에 온다.,,미암기,2012-06-17 15:36:39
All work and no play makes Jack a dull boy.,,공부만 하고 놀지 않으면 바보가 된다.,,미암기,2012-06-17 15:36:39
The house on the hill belongs to him.,,언덕 위에 있는 그 집은 그의 소유이다.,,미암기,2012-06-17 15:36:39
Tom freed the dog.,,탐은 그 개를 풀어주었다.,,미암기,2012-06-17 15:36:39
I am free today.,,나는 오늘 한가하다.,,미암기,2012-06-17 15:36:39
Birds fly high in the sky.,,새들은 하늘에서 높이 날아다닌다.,,미암기,2012-06-17 15:36:39
I take a walk in the park every Sunday.,,나는 일요일마다 공원을 산책한다.,,미암기,2012-06-17 15:36:39
The play is going to be very good.,,그 연극은 매우 훌륭할 것이다.,,미암기,2012-06-17 15:36:39
Yesterday they played baseball for an hour.,,어제 그들은 한 시간 동안 야구를 했다.,,미암기,2012-06-17 15:36:39
Let's go to the beach today.,,오늘 해변가에 가자.,,미암기,2012-06-17 15:36:39
Don't speak so fast.,,그렇게 빨리 말하지 마라.,,미암기,2012-06-17 15:36:39
Rabbits are fast animals.,,토끼는 빠른 동물이다.,,미암기,2012-06-17 15:36:39
What kind of ice cream do you like?,,너는 어떤 종류의 아이스크림을 좋아하니?,,미암기,2012-06-17 15:36:39
Be kind to your neighbors.,,네 이웃 사람들에게 친절해라.,,미암기,2012-06-17 15:36:39
I watch television after dinner.,,나는 저녁 식사 후에 TV를 본다.,,미암기,2012-06-17 15:36:39
Tom and Nancy came to see me yesterday.,,탐과 낸시는 어제 나를 만나러 왔다.,,미암기,2012-06-17 15:36:39
They loved each other.,,그들은 서로 사랑했다.,,미암기,2012-06-17 15:36:39
He went hunting yesterday.,,그는 어제 사냥하러 갔다.,,미암기,2012-06-17 15:36:39
He speaks too fast.,,그는 너무 빨리 말을 한다.,,미암기,2012-06-17 15:36:39
To play the piano is very difficult.,,피아노를 치는 것은 매우 어렵다.,,미암기,2012-06-17 15:36:39
He keeps a dog.,,그는 개를 한 마리 기른다.,,미암기,2012-06-17 15:36:39
You and I are good friends.,,너와 나는 좋은 친구이다.,,미암기,2012-06-17 15:36:39
The cat under the table is sleeping.,,탁자 밑에 있는 고양이는 자고 있다.,,미암기,2012-06-17 15:36:39
The sun rises in the east.,,해는 동쪼겡서 뜬다.,,미암기,2012-06-17 15:36:39
This mountain is very high.,,이 산은 매우 높다.,,미암기,2012-06-17 15:36:39
London is the capital of England.,,런던은 영국의 수도이다.,,미암기,2012-06-17 15:36:39
I asked him a question.,,나는 그에게 질문을 하나 했다.,,미암기,2012-06-17 15:36:39
I saw a tall man yesterday.,,나는 어제 키가 큰 남자를 보았다.,,미암기,2012-06-17 15:36:39
She loves her cat very much.,,그녀는 자기의 고양이를 매우 많이 사랑한다.,,미암기,2012-06-17 15:36:39
He made his son a doctor.,,그는 자기 아들을 의사가 되게 했다.,,미암기,2012-06-17 15:36:39
All the students in our class work hard.,,우리 학급의 모든 학생들은 열심히 공부한다.,,미암기,2012-06-17 15:36:39
Beautiful flowers come out in spring.,,봄에는 아름다운 꽃들이 핀다.,,미암기,2012-06-17 15:36:39
My watch is five minutes slow.,,내 시계는 5분이 늦다.,,미암기,2012-06-17 15:36:39
Winter in gone and spring has come.,,겨울이 가고 봄이 왔다.,,미암기,2012-06-17 15:36:39
Flowers bloom.,,꽃이 핀다.,,미암기,2012-06-17 15:36:39
No news is good news.,,무소식이 희소식이다.,,미암기,2012-06-17 15:36:39
Health is the best wealth.,,건강은 최상의 재산이다.,,미암기,2012-06-17 15:36:39
The Korean people are very diligent.,,한국 사람들은 매우 부지런핟.,,미암기,2012-06-17 15:36:39
Slow and steady wins the race.,,천천히 그리고 꾸준히 하는 자가 경주에서 이긴다.,,미암기,2012-06-17 15:36:39
"No pains, no gains.",,수고하지 않고 무엇을 얻으랴!,,미암기,2012-06-17 15:36:39
"How do you do, Mr. Kim?",,"처음 뵙겠습니다, 김씨.",,미암기,2012-06-17 15:36:39
What would you like to do tonight?,,오늘밤 무엇을 하고 싶으세요?,,미암기,2012-06-17 15:36:39
Why don't you come to my house for dinner tonight?,,오늘밤 우리집에 저녁 식사하러 오는 게 어때요?,,미암기,2012-06-17 15:36:39
How about going to the movies?,,영화보러 가는 게 어때?,,미암기,2012-06-17 15:36:39
"Mr. Kim, You're wanted on the phone.",,"김 선생님, 전화왔습니다.",,미암기,2012-06-17 15:02:56
What's the weather like?,,날씨가 어떻습니까?,,미암기,2012-06-17 15:02:08
What do you call this flower in English?,,영어로 이 꽃을 어떻게 부릅니까?,,미암기,2012-06-17 15:02:08
What's the population of your country?,,당신 나라의 인구는 얼마나 됩니까?,,미암기,2012-06-17 15:02:08
You're welcome.,,천만에요.,,미암기,2012-06-17 15:02:08
Thank you for your kindness.,,당신의 친절에 감사합니다.,,미암기,2012-06-17 15:02:08
Go straight ahead and turn to the right at the first corner.,,곧장 앞으로 가다가 첫 번째 모퉁이에서 오른쪽으로 도세요.,,미암기,2012-06-17 15:02:08
What day is today?,,오늘은 무슨 요일입니까?,,미암기,2012-06-17 15:02:08
What's the date today?,,오늘은 며칠입니까?,,미암기,2012-06-17 15:02:08
"Oh, I'm sorry to have troubled you.",,폐를 끼쳐 죄송합니다.,,미암기,2012-06-17 15:02:08
There's no on-e here by that name. You have the wrong number.,,그런 사람은 여기에 없는데요. 전화를 잘못 거셨습니다.,,미암기,2012-06-17 15:02:08
"Take your time, please.",,천천히 하세요.,,미암기,2012-06-17 15:02:08
Can you give me a discount?,,할인을 좀 해 주실 수 있습니까?,,미암기,2012-06-17 15:02:08
"I called him, but there was no answer.",,"제가 그에게 전화를 했지만, 아무도 받지 않았어요.",,미암기,2012-06-17 15:02:08
You can reach me at 523-0236 after five.,,5시 이후에 523-0236으로 연락하시면 됩니다.,,미암기,2012-06-17 15:02:08
May I have your phone number?,,당신 전화번호 좀 알 수 있을까요?,,미암기,2012-06-17 15:02:08
Would you please answer the phone?,,전화를 좀 받아주시겠어요?,,미암기,2012-06-17 15:02:08
What do you think of Korea?,,한국에 대해 어떻게 생각하세요?,,미암기,2012-06-17 15:02:08
It takes about an hour.,,약 한 시간 걸립니다.,,미암기,2012-06-17 15:02:08
How long does it take to go from here to the station by subway?,,여기에서부터 역까지 지하철로 얼마나 걸립니까?,,미암기,2012-06-17 15:02:08
Every fifteen minutes.,,15분마다 옵니다.,,미암기,2012-06-17 15:02:08
How often does the bus run?,,그 버스는 얼마나 자주 옵니까?,,미암기,2012-06-17 15:02:08
At the third stop from here.,,여기에서 세 번째 정거장에 내리세요.,,미암기,2012-06-17 15:02:08
Where do I get off for the zoo?,,동물원에 가려면 어디에서 내려야 합니까?,,미암기,2012-06-17 15:02:08
You had better take a number 5 bus.,,5번 버스를 타는게 좋겠군요.,,미암기,2012-06-17 15:02:08
What bus do I take to get to the zoo?,,동물원에 가려면 어느 버스를 타야합니까?,,미암기,2012-06-17 15:02:08
The early bird catches the worm.,,일찍 일어나는 새가 벌레를 잡는다.,,미암기,2012-06-17 15:02:08
How late does the subway run?,,지하철은 얼마나 늦게까지 운행합니까?,,미암기,2012-06-17 15:02:08
I want to cancel this ticket.,,이 티켓을 취소하고 싶습니다.,,미암기,2012-06-17 15:02:08
Does this bus go to this place?,,이 버스는 이곳에 갑니까?,,미암기,2012-06-17 15:02:08
What time does the next bus for Seoul leave?,,서울행 다음 버스는 몇 시에 떠납니까?,,미암기,2012-06-17 15:02:08
How much is the fare to this place?,,이곳까지의 요금은 얼마입니까?,,미암기,2012-06-17 15:02:07
I would like a round-trip ticket.,,저는 왕복 티켓을 원합니다.,,미암기,2012-06-17 15:02:07
I would like somebody to call the police.,,누군가 경찰을 불러 주시길 바랍니다.,,미암기,2012-06-17 15:02:07
Would you please charge the battery?,,배터리를 충전해 주시겠습니까?,,미암기,2012-06-17 15:02:07
There is something wrong with the oil pressure.,,오일 압력에 어떤 문제가 있습니다.,,미암기,2012-06-17 15:02:07
Something is making a noise.,,무엇인가 소음을 내고 있습니다.,,미암기,2012-06-17 15:02:07
Which is the shortest way to the beach?,,해변으로 가는 지름길은 어느 길입니까?,,미암기,2012-06-17 15:02:07
Is there a hotel in this area?,,이 지역에 호텔이 있습니까?,,미암기,2012-06-17 15:02:07
Please send a car to my hotel tomorrow morning.,,내일 아침 호텔로 차를 보내 주십시오.,,미암기,2012-06-17 15:02:07
I'd like to rent this car for 2 days.,,이틀 동안 이 차를 빌리고 싶습니다.,,미암기,2012-06-17 15:02:07
This is my international driving permit.,,이것은 제 국제 운전 면허증입니다.,,미암기,2012-06-17 15:02:07
What time can I dine?,,몇 시에 식사를 할 수 있습니까?,,미암기,2012-06-17 15:02:07
What time do we board?,,몇 시에 탑승합니까?,,미암기,2012-06-17 15:02:07
I would like a ticket to London.,,런던행 티켓을 원합니다.,,미암기,2012-06-17 15:02:07
How can I get to this place from here?,,여기서 이 장소가지 어떻게 갑니까?,,미암기,2012-06-17 15:02:07
Which stop should I get off at?,,어느 정거장에서 내려아 합니까?,,미암기,2012-06-17 15:02:07
Do I have to change trains?,,열차를 갈아타야 합니까?,,미암기,2012-06-17 15:02:07
Which platform does this train depart from?,,이 열차는 어느 플랫폼에서 출발합니까?,,미암기,2012-06-17 15:02:07
Where are we passing now?,,지금 우리는 어디를 통과하고 있습니까?,,미암기,2012-06-17 15:02:07
May I open the window?,,창문을 좀 열어도 될까요?,,미암기,2012-06-17 14:28:42
I prefer a seat by the window.,,창가쪽 자리를 원합니다.,,미암기,2012-06-17 14:28:42
Where should I change trains?,,어디서 열차를 갈아타야 합니까?,,미암기,2012-06-17 14:28:42
Is there dining car at the front or rear of the train?,,"식당칸은 열차의 앞쪽에 있습니까, 아니면 뒤쪽에 있습니까?",,미암기,2012-06-17 14:28:42
Is there a dining car?,,식당칸이 있습니까?,,미암기,2012-06-17 14:28:42
Is this seat taken?,,이 자리는 예약되었습니까?,,미암기,2012-06-17 14:28:42
How long does this train stop here?,,이 열차는 여기서 얼마 동안 정차합니까?,,미암기,2012-06-17 14:28:42
How long is the delay?,,얼마나 연착됩니까?,,미암기,2012-06-17 14:28:42
I missed the train. When does the next on-e depart?,,열차를 놓쳤습니다. 다음 출발은 언제입니까?,,미암기,2012-06-17 14:28:42
Can I do water-skiing there?,,거기서 수상스키를 탈 수 있습니까?,,미암기,2012-06-17 14:28:42
I am interested in fishing.,,저는 낚시에 관심이 있습니다.,,미암기,2012-06-17 14:28:42
Is fishing allowed here?,,여기서 낚시할 수 있습니까?,,미암기,2012-06-17 14:28:42
Is there a camp site nearby?,,근처에 야영장이 있습니까?,,미암기,2012-06-17 14:28:42
Can we spend the night here?,,저희 여기서 밤을 보낼 수 있을까요?,,미암기,2012-06-17 14:28:42
Is there a place where we can get water?,,물을 얻을 수 있는 곳이 있습니까?,,미암기,2012-06-17 14:28:42
May we camp here?,,저희 여기서 야영해도 됩니까?,,미암기,2012-06-17 14:28:42
Can you give me something to stop the pain?,,고통을 멈출 무언가를 좀 주시겠습니까?,,미암기,2012-06-17 14:28:42
How long will the treatment take?,,치료는 얼마나 걸릴까요?,,미암기,2012-06-17 14:28:42
Can I have something for a cough?,,기침에 무엇을 좀 주시겠습니까?,,미암기,2012-06-17 14:28:42
What's my temperature?,,제 체온은 몇 도입니까?,,미암기,2012-06-17 14:28:42
"Would you inform my family, please?",,가족에게 알려 주시겠습니까?,,미암기,2012-06-17 14:28:42
Do I need an operation?,,수술을 받아야 합니까?,,미암기,2012-06-17 14:28:42
Is it contagious?,,전염성이 있습니까?,,미암기,2012-06-17 14:28:42
Do you think it is serious?,,심각하다고 생각하십니까?,,미암기,2012-06-17 14:28:42
How long must I rest?,,얼마나 오래 쉬어야 합니까?,,미암기,2012-06-17 14:28:42
How long will it take to recover?,,회복하는데 얼마나 오래 걸립니까?,,미암기,2012-06-17 14:28:42
How often do I have to take the medicine?,,얼마나 자주 약을 복용해야 합니까?,,미암기,2012-06-17 14:28:42
Please take me to the hospital.,,저를 병원으로 데려다 주십시오.,,미암기,2012-06-17 14:28:42
Would you please call an ambulance?,,구급차를 불러 주시겠습니까?,,미암기,2012-06-17 14:28:42
Would you please call a doctor?,,의사를 불러 주시겠습니까?,,미암기,2012-06-17 14:28:42
I feel a little better.,,조금 기분이 나아졌습니다.,,미암기,2012-06-17 14:28:42
I have previously received treatment for an ulcer.,,전에 저는 궤양 치료를 받았습니다.,,미암기,2012-06-17 14:28:42
I tripped on the stairs.,,계단을 헛디디었습니다.,,미암기,2012-06-17 14:28:42
I have a stuffy nose.,,코가 막힙니다.,,미암기,2012-06-17 14:28:42
I've got a sore throat.,,목이 따끔합니다.,,미암기,2012-06-17 14:28:42
I've got a heart problem.,,심장 질환이 있습니다.,,미암기,2012-06-17 14:28:42
I feel like throwing up.,,토할 것 같습니다.,,미암기,2012-06-17 14:28:42
I'm suffering from insomnia.,,불면증으로 고통받고 있습니다.,,미암기,2012-06-17 14:28:42
I have something in my eye.,,눈에 무엇인가 들어갔습니다.,,미암기,2012-06-17 14:28:42
I have a severe toothache.,,심한 치통이 있습니다.,,미암기,2012-06-17 14:28:42
My head is spinning.,,머리가 어지럽습니다.,,미암기,2012-06-17 14:28:42
I have a cold.,,감기에 걸렸습니다.,,미암기,2012-06-17 14:28:42
I have a fever.,,열이 있습니다.,,미암기,2012-06-17 14:28:42
I have high blood pressure.,,나는 혈압이 높습니다.,,미암기,2012-06-17 14:28:42
I'm allergic to fish.,,나는 물고기 알레르기가 있습니다.,,미암기,2012-06-17 14:28:42
I have a headache.,,두통이 있습니다.,,미암기,2012-06-17 14:12:31
I have pains in my back.,,등이 아픕니다.,,미암기,2012-06-17 14:12:31
I have chills.,,오한이 납니다.,,미암기,2012-06-17 14:12:31
I feel faint.,,현기증이 납니다.,,미암기,2012-06-17 14:12:31
I don't feel well.,,기분이 좋지 않습니다.,,미암기,2012-06-17 14:12:31
Please change these Hong Kong dollars into U.S. dollars.,,이 홍콩 달러를 미국 달러로 바꾸어 주십시오.,,미암기,2012-06-17 14:12:31
Could you please give me change for this bill?,,이 지폐를 잔돈으로 바꾸어 줄 수 있습니까?,,미암기,2012-06-17 14:12:31
Could you break this 100 dollar bill?,,이 100달러 지폐를 바꿔 줄 수 있습니까?,,미암기,2012-06-17 14:12:31
This is my identification.,,이것은 제 신분증입니다.,,미암기,2012-06-17 14:12:31
How quickly can this be done?,,이 일은 얼마나 빨리 될 수 있습니까?,,미암기,2012-06-17 14:12:31
Where can I change money?,,어디서 돈을 바꿀 수 있습니까?,,미암기,2012-06-17 14:12:31
How late is the bank open?,,얼마나 늦게까지 은행을 엽니까?,,미암기,2012-06-17 14:12:31
Thank you for calling.,,전화해 주셔서 감사합니다.,,미암기,2012-06-17 14:12:31
Could I leave a message?,,메세지를 남길까요?,,미암기,2012-06-17 14:12:31
"Who is calling, please?",,전화 주신 분은 누구입니까?,,미암기,2012-06-17 14:12:31
"Give me extension 212, please.",,구내 212번 연결해 주십시오.,,미암기,2012-06-17 14:12:31
I'll call again later.,,나중에 다시 전화하겠습니다.,,미암기,2012-06-17 14:12:31
"Hold the line, please.",,끊지 말고 기다려 주십시오.,,미암기,2012-06-17 14:12:31
She's on another line now.,,그녀는 지금 통화 중입니다.,,미암기,2012-06-17 14:12:31
You have the wrong number.,,당신은 전화를 잘못 거셨습니다.,,미암기,2012-06-17 14:12:31
May I speak to Mr. Park?,,박씨와 통화할 수 있습니까?,,미암기,2012-06-17 14:12:31
The number is unlisted.,,그 번호는 전화번호부에 실려 있지 않습니다.,,미암기,2012-06-17 14:12:31
The line is busy.,,통화 중입니다.,,미암기,2012-06-17 14:12:31
Where can I find a public phone?,,어디서 공중전화기를 찾을 수 있습니까?,,미암기,2012-06-17 14:12:31
I'd like to make an overseas call.,,국제 전화를 하고 싶습니다.,,미암기,2012-06-17 14:12:31
I want to make a collect call to Seoul.,,서울에 수신자 부담으로 전화를 걸고 싶습니다.,,미암기,2012-06-17 14:12:31
Would you please call me back and tell me how much it will cost?,,비용이 얼마나 들지 저에게 다시 전화해서 말씀해 주시겠습니까?,,미암기,2012-06-17 14:12:31
Can you send it to this address in Hong Kong?,,그것을 홍콩에 있는 이 주소로 보낼 수 있습니까?,,미암기,2012-06-17 14:12:31
Would you please forward my mail to my address in Seoul?,,서울에 있는 제 주소로 제 우편을 보내 주시겠습니까?,,미암기,2012-06-17 14:12:31
Would you please send this parcel to this address as quickly as possible?,,이 소포를 가능한 한 빨리 이 주소로 보내 주시겠습니까?,,미암기,2012-06-17 14:12:31
I'd like to send this package to Hong Kong.,,이 소포를 홍콩으로 보내고 싶습니다.,,미암기,2012-06-17 14:01:00
Where can I get stamps and postcards?,,어디서 우표와 엽서를 구할 수 있습니까?,,미암기,2012-06-17 14:01:00
How much will it cost to send these letters?,,이 편지들을 보내는데 요금이 얼마나 듭니까?,,미암기,2012-06-17 14:01:00
Does this weigh too much?,,이것은 무게가 너무 나갑니까?,,미암기,2012-06-17 14:01:00
"Will you weigh this parcel, please?",,이 소포의 무게를 재 주시겠습니까?,,미암기,2012-06-17 14:01:00
Please send it by special delivery.,,그것을 특별운송으로 보내 주십시오.,,미암기,2012-06-17 14:01:00
I'd like to send this letter by air mail.,,이 편지를 항공우편으로 보내고 싶습니다.,,미암기,2012-06-17 14:01:00
Please register this letter.,,이 편지를 등기로 부쳐 주십시오.,,미암기,2012-06-17 14:01:00
Where is the post office?,,우체국은 어디에 있습니까?,,미암기,2012-06-17 14:01:00
I would like to have my scalp massaged.,,머리를 마사지하고 싶습니다.,,미암기,2012-06-17 14:01:00
Is there a place to rest?,,쉴 곳이 있습니까?,,미암기,2012-06-17 14:01:00
I would like to have a manicure.,,매니큐어 칠하고 싶습니다.,,미암기,2012-06-17 14:01:00
I would like to have my nails polished.,,손톱을 윤내고 싶습니다.,,미암기,2012-06-17 14:01:00
I would like to have a shave.,,면도하고 싶습니다.,,미암기,2012-06-17 14:01:00
Would you please comb my hair back from the forehead?,,머리를 뒤로 넘겨 주시겠습니까?,,미암기,2012-06-17 14:01:00
Would you please part my hair on the right side?,,오른쪽으로 가르마 타 주시겠습니까?,,미암기,2012-06-17 14:01:00
I would like to have my hair dyed.,,머리 염색을 하고 싶습니다.,,미암기,2012-06-17 14:01:00
Not too short.,,너무 짧지 않게 해 주십시오.,,미암기,2012-06-17 14:01:00
"Just trim it, please.",,다듬어만 주십시오.,,미암기,2012-06-17 14:01:00
"Haircut and shave, please.",,이발과 면도 부탁드립니다.,,미암기,2012-06-17 14:01:00
Would you please use a hair lotion that isn't oily?,,기름기 많지 않은 헤어 로션을 사용해 주시겠습니까?,,미암기,2012-06-17 14:01:00
I would like a mild hair lotion.,,순한 헤어 로션을 원합니다.,,미암기,2012-06-17 14:01:00
I would like to have a shampoo.,,샴푸하고 싶습니다.,,미암기,2012-06-17 14:01:00
I would like to have a haircut.,,이발을 하고 싶습니다.,,미암기,2012-06-17 14:01:00
I was robbed of my wallet on the subway.,,지하철에서 지갑을 도난당했습니다.,,미암기,2012-06-17 14:01:00
I'll pick you up at 7 o'clock.,,7시에 당신을 데리러 가겠습니다.,,미암기,2012-06-16 22:42:27
My passport is missing.,,여권을 찾을 수가 없습니다.,,미암기,2012-06-16 22:41:46
Please call the police immediately.,,즉시 경찰을 불러 주십시오.,,미암기,2012-06-16 22:41:46
It's an emergency!,,응급 상황입니다.,,미암기,2012-06-16 22:41:46
Whom should I inform?,,누구에게 알려야 합니까?,,미암기,2012-06-16 22:41:46
I lost my passport.,,여권을 잃어버렸습니다.,,미암기,2012-06-16 22:41:46
My wallet was stolen.,,지갑을 도난 당했습니다.,,미암기,2012-06-16 22:41:46
