단어,발음,주요뜻,메모,암기여부,저장날짜
advise,ædváiz,권하다|조언하다|알리다|…하는 게 좋다|상담하다,"1)【혼돈어휘】	advise 	충고하다, 조언하다	advice 	[ædváis]  충고, 조언, 권고												

",미암기,2010-11-11 09:41:32
affect,əfékt,영향을 주다|작용하다|감염시키다|…체하다,"1)【혼돈어휘】	affect	영향을 미치다	effect	영향, 효과, 초래하다												

",미암기,2010-11-11 09:41:32
affection,əfékʃən,애정|애착|사랑,"1)【혼돈어휘】	affection	애정	affectation	~인 체하기												

",미암기,2010-11-11 09:41:32
affectionate,əfékʃənət,애정 어린|다정한,"1)【혼돈어휘】	affectionate 	애정이 넘치는	affected 	잘난 체 하는, 영향을 받은	affecting 	감동시키는, 감격적인										

",미암기,2010-11-11 09:41:32
affinity,əfínəti,친화성|친|친밀감|애착|좋아함,"1)【혼돈어휘】	affinity	좋아함	infinity	무한												

",미암기,2010-11-11 09:41:32
afflict,əflíkt,괴롭히다|가하다|지게 하다,"1)【혼돈어휘】	afflict	병 등이 괴롭히다	inflict 	다른 사람에게 고통을 주다												

",미암기,2010-11-11 09:41:32
afflux,ǽflʌks,유입|충혈|흘러드는 것,"1)【혼돈어휘】	afflux	유입	efflux	[액체・공기 등의] 유출												

",미암기,2010-11-11 09:41:32
aggression,əgréʃən,공격|공격성|침략,"1)【혼돈어휘】	aggression	침략	egression	퇴출												

",미암기,2010-11-11 09:41:32
agility,ədʒíləti,민첩|민첩함|민첩성,"1)【혼돈어휘】	agility  	민첩, 기민	agitation 	동요, 불안, 선동												

",미암기,2010-11-11 09:41:32
aid,eid,지원|원조|도움|구호|보조,"1)【혼돈어휘】	aid	도움	aide	보조자												

",미암기,2010-11-11 09:41:32
ailment,éilmənt,병|질환|불쾌,"1)【혼돈어휘】	ailment	[가벼운] 병	aliment	영양물												

",미암기,2010-11-11 09:41:32
alike,əláik,똑같이|모두|비슷한|한결같이,"1)【혼돈어휘】	alike	서로 비슷한	likely 	있음직한 												

",미암기,2010-11-11 09:41:32
alive,əláiv,살아 있는|계속하여|생기에 넘치는|생생한|이 세상의,"1)【혼돈어휘】	alive	생존해 있는	lively	생기가 넘치는												

",미암기,2010-11-11 09:41:32
allegation,ӕligéiʃən,의혹|진술|혐의|주장|해명,"1)【혼돈어휘】	allegation 	[증거없는] 주장 	allegiance  	충성,충실												

",미암기,2010-11-11 09:41:31
allow,əláu,…할 수 있게 하다|허용하다|허락하다,"1)【혼돈어휘】	allow 	허락하다, 허가하다	allot 	할당하다, 분배하다												

",미암기,2010-11-11 09:41:31
alloy,"ǽlɔi, əlɔ́i",합금|합금하다|섞다,"1)【혼돈어휘】	alloy	합금	ally 	[əlái] 제휴시키다, 연합하다; 동맹국	alley	[ǽli] 오솔길, 샛길	allay	[əléi] 진정시키다, 완화하다								

",미암기,2010-11-11 09:41:31
allude,əlúːd,암시하다|언급하다|넌지시 말하다,"1)【혼돈어휘】	allude	암시하다	elude	피하다, 회피하다												

",미암기,2010-11-11 09:41:31
allusion,əlúːʒən,암시|언급|넌지시 말함,"1)【혼돈어휘】	allusion	암시	illusion	환상	delusion	망상										

",미암기,2010-11-11 09:41:31
alone,əlóun,혼자|홀로|다만 …뿐이다|고립하여,"1)【혼돈어휘】	alone	홀로, 외로이	lonely	외로운	lone	혼자의										

",미암기,2010-11-11 09:41:31
altar,ɔ́ːltər,제단|분향소|변기,"1)【혼돈어휘】	altar	제단	alter	바꾸다												

",미암기,2010-11-11 09:41:31
alternate,"ɔ́ːltərnèit, ǽl-｜ɔ́ːl-",대체하다|교류하다|교대의|번갈아 하다|교차하다,"1)【혼돈어휘】	alternately	교대로	alternatively	양자택일로												

",미암기,2010-11-11 09:41:31
altogether,"ɔ̀ːltəgéðər, -'--′-",전적으로|모두 함께|합하여,"1)【혼돈어휘】	altogether	완전히	all together	모두 함께												

",미암기,2010-11-11 09:41:31
amaze,əméiz,놀랍다|대단한 |멋진|훌륭한|굉장한,"1)【혼돈어휘】	amaze	~을 놀라게 하다	amuse	즐겁게 하다	bemuse 	멍하게 만들다										

",미암기,2010-11-11 09:41:31
amenable,əmíːnəbl,순종하는|복종할 의무가 있는|제재를 받는,"1)【혼돈어휘】	amenable	고분고분한	amendable	고칠 수 있는												

",미암기,2010-11-11 09:41:31
amend,əménd,개정하다|수정하다|보상,"1)【혼돈어휘】	amend	[법을] 고치다	amends	보상, 배상	emend	[책을] 교정하다										

",미암기,2010-11-11 09:41:31
amity,ǽməti,친선|친목|우호,"1)【혼돈어휘】	amity	우호관계, 친목	enmity 	적의, 증오, 적개심												

",미암기,2010-11-11 09:41:31
amnesia,æmníːʒə,기억 상실|기억상실증,"1)【혼돈어휘】	amnesia	기억상실	anemia	빈혈증	amentia	정신박약	amnesty 	특사, 사면; 용서								

",미암기,2010-11-11 09:41:31
anecdote,ǽnikdòut,일화,"1)【혼돈어휘】	anecdote	일화	antidote	해독제												

",미암기,2010-11-11 09:41:31
annual,ǽnjuəl,연간의|연례의|매년의|연마다의|1년의,"1)【혼돈어휘】	annual	1년을 단위로 하는	annals	연보	annul	취소하다										

",미암기,2010-11-11 09:41:31
anonymous,ənάnəməs,익명의|이름을 밝히지 않은|어나니머스|무명|미상의,"1)【혼돈어휘】	anonymous	익명의	anomalous	특이한												

",미암기,2010-11-11 09:41:31
antique,æntíːk,골동품|옛날의,"1)【혼돈어휘】	antique	고대의;구식의 	antic	[ǽntik] 별난, 괴상한												

",미암기,2010-11-11 09:41:31
apathy,ǽpəθi,냉담|무관심|무감각,"1)【혼돈어휘】	apathy	무관심	antipathy	반감	empathy	감정이입 										

",미암기,2010-11-11 09:41:31
apologia,ӕpəlóudʒiə,a formal written defense of something you believe in strongly,"1)【혼돈어휘】	apologia	변명	apology	사과	apologue	우화										

",미암기,2010-11-11 09:41:31
appealing,əpíːliŋ,매력적인|마음을 끄는|애원하는,"1)【혼돈어휘】	appealing  	마음을 끄는, 매력적인	appellant 	항소의, 상고의												

",미암기,2010-11-11 09:41:31
appraise,əpréiz,평가하다|감정하다|값을 매기다,"1)【혼돈어휘】	appraise	평가하다	apprise	알리다	praise	칭찬하다, 찬미하다										

",미암기,2010-11-11 09:41:31
apprehend,ӕprihénd,…을 체포하다|이해하다|염려하다,"1)【혼돈어휘】	apprehend	체포하다; 이해하다; 염려하다	comprehend	포함하다; 이해하다												

",미암기,2010-11-11 09:41:31
arbitrary,άːrbətrèri,임의의|독단적인|제멋대로의,"1)【혼돈어휘】	arbitrary	제멋대로인, 독단적인	arbitrate 	중재하다,조정하다												

",미암기,2010-11-11 09:41:31
archaic,aːrkéiik,고풍의|원시적인|낡은,"1)【혼돈어휘】	archaic	고대의; 오래된, 낡은	arcane 	비밀의, 불가사의한												

",미암기,2010-11-11 09:41:31
argument,άːrgjumənt,논쟁|주장|말다툼|논거|논점,"1)【혼돈어휘】	argument	논쟁	augment	증가하다												

",미암기,2010-11-11 09:41:31
arouse,əráuz,불러일으키다|일어서다|분개하다|각성시키다|발생하다,"1)【혼돈어휘】	arouse	[관심・기대 등을] 일으키다	arise	발생하다												

",미암기,2010-11-11 09:41:31
arraign,əréin,…을 규탄하다|피고인에게 소인의 인부를 묻다|책망하다,"1)【혼돈어휘】	arraign	기소[고발]하다	arrange	정돈하다; 계획하다												

",미암기,2010-11-11 09:41:31
arrogant,ǽrəgənt,오만한|거만한,"1)【혼돈어휘】	arrogant	거만한, 오만한	arrogate 	타인의 권리를 침해하다, 횡령하다												

",미암기,2010-11-11 09:41:31
arsonist,άːrsnist,a criminal who illegally sets fire to property,"1)【혼돈어휘】	arsonist	방화범	larcenist	절도범 												

",미암기,2010-11-11 09:41:31
artful,άːrtfəl,교활한|교묘한|기교 있는,"1)【혼돈어휘】	artful	교활한	artificial	인공의												

",미암기,2010-11-11 09:41:31
artifact,άːrtəfӕkt,인공물|인공 유물|가공품,"1)【혼돈어휘】	artifact	인공물	artifice	계략												

",미암기,2010-11-11 09:41:31
artistic,aːrtístik,예술적인|미술적인,"1)【혼돈어휘】	artistic	예술적인	autistic	자폐증의												

",미암기,2010-11-11 09:41:31
ascent,əsént,오르기|등반|승진,"1)【혼돈어휘】	ascent	상승	assent	동의												

",미암기,2010-11-11 09:41:31
ascetic,əsétik,금욕주의자|금욕적인|고행자,"1)【혼돈어휘】	ascetic	금욕주의의	aesthetic	미학적인	ecstatic	무아지경의										

",미암기,2010-11-11 09:41:31
assemble,əsémbl,조립하다|모으다|구성하다|소집하다,"1)【혼돈어휘】	assemble	모이다, 소집하다	resemble	닮다												

",미암기,2010-11-11 09:41:31
assiduous,əsídʒuəs,근면한|부지런한|끈기 있는,"1)【혼돈어휘】	assiduous	근면한	acidulous	신맛이 나는												

",미암기,2010-11-11 09:41:31
assumed,əsúːmd,가장한|꾸민|겉꾸민,"1)【혼돈어휘】	assumed 	가장한; 허위의, 추정되는	assumptive 	가설의,추측의	assuming 	건방진,거만한; 주제넘은										

",미암기,2010-11-11 09:41:31
astronomer,əstrάnəmər,천문학자|천문대장,"1)【혼돈어휘】	astronomer	천문학자	astronaut 	우주비행사 												

",미암기,2010-11-11 09:41:31
astronomy,əstrάnəmi,천문학,"1)【혼돈어휘】	astronomy	천문학	astrology	점성술												

",미암기,2010-11-11 09:41:31
atrophy,ǽtrəfi,위축|쇠약|위축시키다,"1)【혼돈어휘】	atrophy	[영양부족에서 오는] 위축, 쇠약	eutrophy 	영양 양호,정상발육	dystrophy 	영양실조	hypertrophy	[영양과다에 의한] 비대								

",미암기,2010-11-11 09:41:31
attendance,əténdəns,관객|참석|출석|돌봄,"1)【혼돈어휘】	attendance	출석[자]	attention	주의; 친절												

",미암기,2010-11-11 09:41:31
audible,ɔ́ːdəbl,들리는|들을 수 있는|목소리가 알아들을 수 있는,"1)【혼돈어휘】	audible 	들리는, 청취할 수 있는	auditory/auditive 	청각의, 귀의	audience	청중, 관람객, 시청자 ; 접견 										

",미암기,2010-11-11 09:41:31
audit,ɔ́ːdit,감사|단속|청강|세무조사,"1)【혼돈어휘】	audit 	회계감사, 결산	audition 	청력, 청강; 오디션												

",미암기,2010-11-11 09:41:31
aural,ɔ́ːrəl,청각의|귀의|영기의,"1)【혼돈어휘】	aural	청각의	oral	구두의												

",미암기,2010-11-11 09:41:31
autocratic,"ɔ̀ːtəkrǽtik, -ikəl",독재적인|전제의|독재의,"1)【혼돈어휘】	autocratic	독제적인	automatic	자동의												

",미암기,2010-11-11 09:41:31
automation,ɔ̀ːtəméiʃən,자동화,"1)【혼돈어휘】	automation	자동제어 기계, 자동화	automaton	자동장치, 로봇[=robot] 												

",미암기,2010-11-11 09:41:31
avocation,ӕvəkéiʃən,부업|취미|여기,"1)【혼돈어휘】	avocation	부업, 취미	evocation	불러 일으킴												

",미암기,2010-11-11 09:41:31
avoid,əvɔ́id,피하다|회피하다|막다|자제하다|예방하다,"1)【혼돈어휘】	avoid	~을 피하다	ovoid	계란형의												

",미암기,2010-11-11 09:41:31
awful,ɔ́ːfəl,끔찍한|엄청난|무서운|심한|지독한,"1)【혼돈어휘】	awful	무서운→ 지독히 나쁜	awesome	대단히 멋진												

",미암기,2010-11-11 09:41:31
bad,bæd,나쁜|좋지 않은|잘못된|심한|해로운,"1)【혼돈어휘】	bad	나쁜	badly	형편없이; 심하게												

",미암기,2010-11-11 09:41:31
balmy,bάːmi,향기로운|온화한|향유의,"1)【혼돈어휘】	balmy	온화한	barmy	약간 미친												

",미암기,2010-11-11 09:41:31
banal,bənǽl,진부한|평범한|흔해빠진,"1)【혼돈어휘】	banal	진부한, 상투적인	venal	돈에 매수되는	venial 	[죄가] 가벼운, 용서할 수 있는										

",미암기,2010-11-11 09:41:31
bandage,bǽndidʒ,붕대|밴드,"1)【혼돈어휘】	bandage	붕대	bondage	노예 상태												

",미암기,2010-11-11 09:41:31
banish,bǽniʃ,추방하다|떨쳐버리다,"1)【혼돈어휘】	banish	추방하다	vanish	사라지다												

",미암기,2010-11-11 09:41:31
bare,bεər,노출된|드러내다|극소량의|벌거벗은|단순한,"1)【혼돈어휘】	bare	발가벗은	barely	거의 ~않게	bear	곰; 지니다, 참다										

",미암기,2010-11-11 09:41:31
barrage,bərάːʒ,일제 엄호 사격|연발|탄막,"1)【혼돈어휘】	barrage 	연발 사격; 집중 포화, 질문 공세	barrack 	[군대의] 막사, 병영												

",미암기,2010-11-11 09:40:45
base,beis,기반|기초|위치하다|…로 만든|기지,"1)【혼돈어휘】	base	기초, 토대, 기지; 비열한	bass	저음부	basis	기초, 주성분										

",미암기,2010-11-11 09:40:45
bash,bæʃ,강타하다|강타|…을 두들겨 우그러뜨리다,"1)【혼돈어휘】	bash 	세게 때리다, 강타하다	bashful	수줍어하는, 부끄럼타는												

",미암기,2010-11-11 09:40:45
bath,bæθ,목욕|목욕물|욕실|욕조,"1)【혼돈어휘】	bath	목욕[하다], 욕조	bathe	씻어내다, 목욕시키다												

",미암기,2010-11-11 09:40:45
bauble,bɔ́ːbl,시시한 것|겉만 번지르르한 싸구려 물건|속 보이는 것,"1)【혼돈어휘】	bauble	[겉만 뻔지르르한] 장식물	babble	서툰 말로 지껄이다												

",미암기,2010-11-11 09:40:45
beatify,biːǽtəfài,시복하다|…을 더없이 행복하게 하다|지복을 입게 하다,"1)【혼돈어휘】	beatify	행복하게 하다	beautify	아름답게 하다												

",미암기,2010-11-11 09:40:45
benediction,bènədíkʃən,축복|감사 기도|은총,"1)【혼돈어휘】	benediction	축복; [식전·식후의] 감사기도	malediction	저주, 악담,  욕 	valediction 	고별[사]										

",미암기,2010-11-11 09:40:45
beneficent,bənéfəsənt,자선심 많은|선을 행하는|선행을 하는,"1)【혼돈어휘】	beneficent	자선심이 많은	beneficial	유익한												

",미암기,2010-11-11 09:40:45
berth,bəːrθ,선석|진출하다|선실|정박하다,"1)【혼돈어휘】	berth	정박; 숙소	birth	탄생												

",미암기,2010-11-11 09:40:45
beside,bisáid,곁에|벗어난|비교하면|가,"1)【혼돈어휘】	beside	~곁에	besides	~뿐만 아니라												

",미암기,2010-11-11 09:40:45
biannual,baiǽnjuəl,1년에 두 번의|반년 마다의|2년에 한 번의,"1)【혼돈어휘】	biannual	연 2회의	biennial	2년마다의												

",미암기,2010-11-11 09:40:45
bilateral,bailǽtərəl,양국|양자|상호|동맹|쌍방,"1)【혼돈어휘】	bilateral	양쪽의	biliteral	두 자의												

",미암기,2010-11-11 09:40:45
bizarre,bizάːr,기괴한|별난|괴상한,"1)【혼돈어휘】	bizarre	이상한	bazaar	[자선 기금 등이 목적인] 시장, 바자회	visa	사증, 비자										

",미암기,2010-11-11 09:40:45
blanch,blænʧ,희게 하다|살짝 데치다|…을 바래다,"1)【혼돈어휘】	blanch	~을 희게 하다, 표백하다	blanky 	공백이 많은												

",미암기,2010-11-11 09:40:45
bland,blænd,지루한|부드러운|단조로운|풍미없는|개성없는,"1)【혼돈어휘】	bland	온화한	blend	혼합하다	brand	상표, 브랜드										

",미암기,2010-11-11 09:40:45
blandish,blǽndiʃ,달콤한 말로 구슬리다|알랑거리다|구슬려서 시키다,"1)【혼돈어휘】	blandish	아첨하다; 감언으로 설득하다 	brandish 	[칼, 창 등을] 휘두르다												

",미암기,2010-11-11 09:40:45
bless,bles,축복하다|감사하다|지지하다,"1)【혼돈어휘】	bless	축복하다	bliss	[더 없는] 기쁨												

",미암기,2010-11-11 09:40:45
bloc,blak,블록|연합|세력권,"1)【혼돈어휘】	bloc	[정치・경제상의] 블록, 권	block	[돌・나무 등의] 덩어리												

",미암기,2010-11-11 09:40:45
blunt,blʌnt,솔직한|무딘|퉁명스런|둔화시키다,"1)【혼돈어휘】	blunt	무딘; 둔한, 퉁명스러운	brunt 	[공격 등의] 예봉, 타격	blurt 	불쑥 말하다; 무심결에 누설하다 										

",미암기,2010-11-11 09:40:45
boast,boust,자랑하다|가지고 있다|뽐내다|호언장담하다|내세우다,"1)【혼돈어휘】	boast	자랑하다	boost	후원하다, 부양하다												

",미암기,2010-11-11 09:40:45
bold,bould,과감한|대담한|용감한|적극적|굵은,"1)【혼돈어휘】	bold	대담한, 뻔뻔스러운	bald	대머리의												

",미암기,2010-11-11 09:40:45
bombard,bambάːrd｜bɔm-,폭격하다|공격하다|…을 포격하다,"1)【혼돈어휘】	bombard	포격하다	bombastic	과장된												

",미암기,2010-11-11 09:40:45
bonny,bάni,아름다운|여자 이름|훌륭한,"1)【혼돈어휘】	bonny	예쁜, 사랑스러운	bony	여윈												

",미암기,2010-11-11 09:40:45
border,bɔ́ːrdər,국경|경계|접해 있다|가깝다|인접하다,"1)【혼돈어휘】	border	가장자리, 경계, 국경	board	판자, 위원회	boarder	기숙생	bother	귀찮게 하다								

",미암기,2010-11-11 09:40:45
bored,bɔːrd,지루한|싫증난,"1)【혼돈어휘】	bored	따분한	boring	지루하게 하는												

",미암기,2010-11-11 09:40:45
borrow,bάrou,빌리다|대여하다|차용하다|빚지다,"1)【혼돈어휘】	borrow	빌리다	lend	빌려주다												

",미암기,2010-11-11 09:40:45
breach,briːʧ,위반|침해|어기다|무너지다|누출,"1)【혼돈어휘】	breach	[법률 등의] 위반	bleach 	[blíːtʃ]  표백하다; 표백제 	broach	[말 등을] 꺼내다										

",미암기,2010-11-11 09:40:45
breath,breθ,숨|호흡|냄새|숨결,"1)【혼돈어휘】	breath	호흡 	breathe 	숨쉬다 												

",미암기,2010-11-11 09:40:45
breed,briːd,육성|품종|사육하다|번식하다|기르다,"1)【혼돈어휘】	breed	[새끼를] 낳다, [알을] 까다 	brood 	한 배의 병아리, 새끼; 종족; 곰곰이 생각하다, 수심에 잠기다; [어둠 등이] 뒤덮다												

",미암기,2010-11-11 09:40:45
bright,brait,밝은|영리한|긍정적인|빛나는|환한,"1)【혼돈어휘】	bright	빛나는	blight	시들게 하다, 망치다												

",미암기,2010-11-11 09:40:45
brink,briŋk,위기|직전|벼랑,"1)【혼돈어휘】	brink	가장자리, 끝, 언저리; ~할 찰나	blink 	깜빡거리다												

",미암기,2010-11-11 09:40:45
broke,brouk,깼다|부서졌다|파산한|무일푼의|빈털터리의,"1)【혼돈어휘】	broke	파산하여, 무일푼으로	broker 	브로커, 중개인												

",미암기,2010-11-11 09:40:45
bubble,bΛbl,거품|기포|버블|과열|채우다,"1)【혼돈어휘】	bubble	거품, 기포; 망상	bobble	[bɑ́bl] 실수, 실책 												

",미암기,2010-11-11 09:40:45
bullion,búljən,금괴|은괴|금의 지금,"1)【혼돈어휘】	bullion	금[은]과	bouillon	부용												

",미암기,2010-11-11 09:40:45
bust,bʌst,파산|흉상|체포하다|부수다|상반신,"1)【혼돈어휘】	bust	부수다; 가슴, 상반신	burst	터지다												

",미암기,2010-11-11 09:40:45
cabal,kəbǽl,음모를 꾸미다|음모단|음모,"1)【혼돈어휘】	cabal	음모, 비밀결사단	cavalier  	기사도 정신의 소유자; 기사다운	cavalry 	기병대, 기갑부대; 승마										

",미암기,2010-11-11 09:40:45
calendar,kǽləndər,달력|일정,"1)【혼돈어휘】	calendar	달력	colander	[부엌용] 여과기												

",미암기,2010-11-11 09:40:45
calibrate,kǽləbrèit,눈금을 정하다|눈금을 매기다|구경을 측정하다,"1)【혼돈어휘】	calibrate	측정하다	celebrate	축하하다	celebrity	명성, 유명인사	cerebrate	뇌를 쓰다; 생각하다	celibate	[종교적 이유의] 독신						

",미암기,2010-11-11 09:40:45
callous,kǽləs,냉담한|굳어진|무감각한,"1)【혼돈어휘】	callous	무감각한; 냉정한, 냉담한	callow 	아직 깃털이 나지 않은, 풋내기의												

",미암기,2010-11-11 09:40:45
cancel,kǽnsəl,취소하다|철회하다|상쇄되다|중지하다|삭제하다,"1)【혼돈어휘】	cancel	취소하다	postpone	연기하다												

",미암기,2010-11-11 09:40:45
candid,kǽndid,솔직한|진솔한|자연스러운,"1)【혼돈어휘】	candid	솔직한	candied	설탕으로 절인												

",미암기,2010-11-11 09:40:45
cannon,kǽnən,대포|캐논|허풍,"1)【혼돈어휘】	cannon	대포	canon	교회법, 규범												

",미암기,2010-11-11 09:40:45
canvas,kǽnvəs,캔버스|캔버스 천|도화지,"1)【혼돈어휘】	canvas	캔버스, 화포, 유화	canvass	선거 운동하다												

",미암기,2010-11-11 09:40:45
capacious,kəpéiʃəs,널찍한|많이 들어가는|넓은,"1)【혼돈어휘】	capacious	 널찍한; 용량이 큰	capricious	변덕스러운	capacitate	능력[자격]을 주다, 가능케 하다										

",미암기,2010-11-11 09:40:45
capital,kǽpətl,자본|수도|자금|자산|대문자,"1)【혼돈어휘】	capital	수도; 대문자; 자본; 주요한	Capitol 	[미국의] 국회의사당												

",미암기,2010-11-11 09:40:45
cardinal,kάːrdənl,추기경|기본적인|카디널스,"1)【혼돈어휘】	cardinal	가장 주요한, 기본적인; 진홍빛의	cardiac	[의학] 심장의; 강심제												

",미암기,2010-11-11 09:40:45
careless,kέərlis,부주의한|경솔한|조심성 없는,"1)【혼돈어휘】	careless	부주의한	carefree	근심없는, 태평한												

",미암기,2010-11-11 09:40:45
carnal,kάːrnl,육체의|육욕적인|속세의,"1)【혼돈어휘】	carnal	육체의, 육욕적인	canal	운하	channel 	수로, 해협; 경로										

",미암기,2010-11-11 09:40:45
carnalize,kάːrnəlàiz,육욕에 빠지게 하다,"1)【혼돈어휘】	carnalize 	세속적으로 되다	canalize	운하를 파다, 나갈 길을 열어주다												

",미암기,2010-11-11 09:40:45
carve,kaːrv,조각하다|자르다|차지하다|개척하다|분할하다,"1)【혼돈어휘】	carve  	조각하다	carp 	흠을 들추다, 트집잡다												

",미암기,2010-11-11 09:40:45
castigate,kǽstəgèit,…을 혹평하다|징계하다|크게 책망하다,"1)【혼돈어휘】	castigate	징계하다	castrate	거세하다												

",미암기,2010-11-11 09:40:45
casualty,kǽʒuəlti,사상자|희생자|피해자|부상자,"1)【혼돈어휘】	casualty	사상자	causality	인과관계												

",미암기,2010-11-11 09:40:45
cataclysm,kǽtəklìzm,대홍수|정치적 대변동|대변동,"1)【혼돈어휘】	cataclysm	대변동	catechism	문답식 교수법												

",미암기,2010-11-11 09:40:45
cave,keiv,동굴|…에 굴을 파다|움푹 들어가다,"1)【혼돈어휘】	cave 	동굴	cavern 	큰 동굴, 땅굴												

",미암기,2010-11-11 09:40:45
celerity,səlérəti,민첩함|민속|민첩,"1)【혼돈어휘】	celerity	민첩함	celebrity	유명 인사												

",미암기,2010-11-11 09:40:45
censor,sénsər,검열|통제|금지|감시|심의,"1)【혼돈어휘】	censor	[출판물 등을] 검열하다	sensor 	감지기 	censure	비난하다	census	인구조사, 국세조사								

",미암기,2010-11-11 09:40:45
